name
Francis Ford Coppola
Frank Darabont
Steven Spielberg
Martin Scorsese
Milos Forman
James Cameron
Robert Zemeckis
George Lucas
Francis Coppola
Ridley Scott
Christopher Nolan
David Fincher
Andy Wachowski
Andrew Stanton
Lee Unkrich
Quentin Tarantino
Mel Gibson
Michael Mann
Gus Van Sant
John Lasseter
Brian De Palma
Clint Eastwood
Joel Coen
Danny Boyle
Ron Howard
Oliver Stone
Frank Miller
Joss Whedon
Richard Kelly
Terry Gilliam
Tom Hooper
Peter Weir
